bootstrap_size,no_features,max_depth,no_trees,ouralgorithm_accuracy,sklearn_accuracy
27000,20,20,30,0.863333333,0.9535
5400,30,25,10,0.821,0.9115
27000,20,25,30,0.8635,0.954833333
27000,20,15,30,0.859333333,0.950666667
5400,20,10,30,0.829833333,0.9235
27000,20,15,20,0.85,0.943833333
13500,20,25,30,0.854166667,0.948166667
13500,20,15,30,0.848666667,0.943666667
5400,20,15,30,0.834166667,0.929666667
13500,30,15,10,0.831,0.927
13500,20,20,30,0.851333333,0.949
13500,30,20,10,0.822666667,0.921833333
13500,30,25,10,0.823,0.922333333
5400,20,20,30,0.830666667,0.930833333
5400,20,5,10,0.691166667,0.791833333
27000,20,25,20,0.847666667,0.949333333
5400,20,25,30,0.829,0.9325
27000,20,20,20,0.844833333,0.949
13500,20,10,20,0.8185,0.924666667
13500,20,5,10,0.675333333,0.785333333
13500,20,15,20,0.808666667,0.937833333
5400,20,10,20,0.786166667,0.915833333
13500,20,25,20,0.807,0.9395
13500,20,20,20,0.807333333,0.942833333
5400,20,15,20,0.781833333,0.923666667
27000,20,5,10,0.657833333,0.803166667
5400,20,20,20,0.774666667,0.924166667
27000,20,10,10,0.762,0.911666667
5400,20,25,20,0.773333333,0.9265
5400,20,10,10,0.736666667,0.896666667
27000,20,15,10,0.759333333,0.927
27000,20,20,10,0.759166667,0.932
27000,20,25,10,0.758666667,0.9325
5400,20,15,10,0.7225,0.8985
13500,20,10,10,0.727333333,0.907833333
5400,20,25,10,0.719833333,0.902333333
5400,20,20,10,0.719166667,0.902
27000,10,5,100,0.649833333,0.847
5400,10,5,100,0.649333333,0.847833333
13500,10,5,100,0.6475,0.848833333
27000,10,5,50,0.633666667,0.836333333
13500,10,5,50,0.627333333,0.836833333
13500,10,5,30,0.613,0.825666667
27000,10,5,30,0.6105,0.824333333
13500,10,5,40,0.618833333,0.834166667
13500,20,15,10,0.701666667,0.919666667
27000,10,5,40,0.616333333,0.834833333
27000,10,5,20,0.592333333,0.817
5400,10,5,50,0.6065,0.831666667
13500,20,20,10,0.69,0.923
13500,20,25,10,0.686833333,0.919833333
5400,10,5,40,0.5895,0.828166667
13500,10,10,30,0.684833333,0.923833333
27000,10,5,10,0.539833333,0.779
5400,10,10,100,0.685166667,0.93
27000,10,10,100,0.686666667,0.932166667
13500,10,10,100,0.685666667,0.932333333
13500,10,5,20,0.567833333,0.814666667
13500,10,10,40,0.679333333,0.926833333
5400,10,25,100,0.691,0.944333333
5400,10,5,30,0.560166667,0.815
5400,10,20,100,0.688,0.944333333
5400,10,15,100,0.680666667,0.940666667
27000,10,10,50,0.667,0.928666667
13500,10,10,50,0.667333333,0.929166667
13500,10,10,20,0.643166667,0.914833333
5400,10,5,10,0.506,0.781
27000,10,10,30,0.647333333,0.923166667
27000,10,10,40,0.647833333,0.9245
13500,10,15,30,0.666,0.943
13500,10,25,100,0.675833333,0.953333333
5400,10,10,50,0.6455,0.925
13500,10,15,100,0.674166667,0.953833333
27000,10,10,20,0.636166667,0.917
13500,10,25,40,0.667,0.948166667
13500,10,15,40,0.664333333,0.946166667
13500,10,20,100,0.670833333,0.953333333
13500,10,20,30,0.658166667,0.941166667
13500,10,20,40,0.663333333,0.947
27000,10,15,100,0.6695,0.953833333
13500,10,25,30,0.661166667,0.946
27000,10,25,100,0.672666667,0.958833333
27000,10,20,100,0.670666667,0.958333333
5400,10,10,40,0.632833333,0.922333333
13500,10,5,10,0.496,0.786166667
5400,10,25,50,0.643166667,0.938833333
27000,10,15,50,0.6535,0.949333333
5400,10,20,50,0.6385,0.939166667
5400,10,5,20,0.507333333,0.8095
13500,10,15,50,0.645333333,0.9475
5400,10,15,50,0.631833333,0.9355
13500,10,25,50,0.643166667,0.948666667
5400,10,25,40,0.624666667,0.932166667
27000,10,20,50,0.646,0.955166667
13500,10,20,50,0.6385,0.948666667
27000,10,25,50,0.643833333,0.955833333
5400,10,20,40,0.623,0.937
5400,10,15,40,0.617166667,0.932666667
5400,10,10,30,0.5995,0.916333333
27000,10,15,30,0.625166667,0.943666667
27000,10,15,40,0.627166667,0.947166667
27000,10,20,40,0.626666667,0.952333333
27000,10,25,40,0.625333333,0.954166667
27000,10,15,20,0.608333333,0.938666667
27000,10,20,30,0.619166667,0.949833333
27000,10,10,10,0.571,0.902833333
13500,10,15,20,0.603666667,0.935666667
27000,10,25,30,0.618666667,0.951
13500,10,20,20,0.597166667,0.9355
13500,10,25,20,0.595333333,0.936166667
27000,10,25,20,0.5995,0.944833333
27000,10,20,20,0.599833333,0.946833333
5400,10,25,30,0.579,0.927166667
5400,10,20,30,0.5775,0.928
5400,10,15,30,0.571666667,0.929666667
5400,10,10,20,0.5445,0.907333333
13500,10,10,10,0.529833333,0.9
27000,10,15,10,0.5425,0.922166667
5400,10,25,20,0.534666667,0.917166667
5400,10,20,20,0.531666667,0.920333333
5400,10,10,10,0.5005,0.889166667
5400,10,15,20,0.5255,0.918
27000,10,25,10,0.533,0.9275
27000,10,20,10,0.530666667,0.930833333
5400,10,25,10,0.464833333,0.8805
5400,10,15,10,0.469333333,0.887666667
5400,10,20,10,0.465166667,0.887166667
13500,10,15,10,0.490166667,0.913833333
13500,10,20,10,0.4765,0.913166667
13500,10,25,10,0.4765,0.915666667
